epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.784,1.58336,3.51345,1.9019,0.86755,0.18182,0.10362,0.05046,1.98261,4.21143,2.75763,0.000195954,0.000195954,0.000195954
2,693.968,1.50567,2.97405,1.84263,0.90119,0.15909,0.15279,0.08081,2.00597,3.79205,2.70708,0.000314347,0.000314347,0.000314347
3,1027.02,1.46716,2.76092,1.80782,0.88217,0.15909,0.14933,0.07164,2.00152,3.82399,2.58446,0.000355124,0.000355124,0.000355124
4,1364.47,1.41119,2.59067,1.7616,0.22963,0.21441,0.16183,0.07632,2.01944,3.75612,2.672,0.000238728,0.000238728,0.000238728
5,1699.73,1.37762,2.47085,1.72873,0.62024,0.23385,0.21972,0.12659,1.89611,3.8248,2.52321,0.000122304,0.000122304,0.000122304
